party,venue,account_name,account_type,asset,amount,amount_usd,conv_rate,amount_old,amount_usd_old,conv_rate_old,diff
APCAPKY,BINANCE,apcapital1@hiddenroad.com,AccountType.MAIN,USDT,8.3e-07,8.302773781414355e-07,1.00033419053185,8.3e-07,8.301064059029813e-07,1.00012819988311,0.0
APCAPKY,FTX,APCAPKY1,AccountType.UNIVERSAL,USD,0.00613253,0.00613253,1.0,0.00613253,0.00613253,1.0,0.0
APCAPKY,HRP,Main Account,AccountType.MAIN,ETH,0.00504763,15.733029838113673,,0.00504763,12.93684384801743,,0.0
APCAPKY,HRP,Main Account,AccountType.MAIN,USD,944752.1949488572,944752.1949488572,,963166.0550149486,963166.0550149486,,-18413.86006609141
APCAPKY,HRP,Main Account,AccountType.MAIN,USDC,-1.0,-0.999878886483735,,0.0,0.0,,-1.0
APCAPKY,HRP,Main Account,AccountType.MAIN,USDT,-19.190001680050045,-19.1964147969177,,1999980.80999832,2000237.207304384,,-2000000.0
APCAPKY,OKEX,APCAPKY1,AccountType.MAIN,USDT,8.5e-07,8.502840619520725e-07,1.00033419053185,8.5e-07,8.501089699006435e-07,1.00012819988311,0.0
APCAPKY,OKEX,APCAPKY1,AccountType.UNIVERSAL,ETH,1.7822682e-09,5.555177136620779e-06,3116.91424254822,1.7822682e-09,4.567871535490339e-06,2562.95406914085,0.0
APCAPKY,OKEX,APCAPKY1,AccountType.UNIVERSAL,USDT,1.971e-09,1.971658689538276e-09,1.00033419053185,1.971e-09,1.9712526819696102e-09,1.00012819988311,0.0
BELVEKY,HRP,Main Account,AccountType.MAIN,USD,251000.0,251000.0,,993764.8279568664,993764.8279568664,,-742764.8279568664
BINANCE,BINANCE,apcapital1@hiddenroad.com,AccountType.MAIN,USDT,8.3e-07,8.302773781414355e-07,1.00033419053185,8.3e-07,8.301064059029813e-07,1.00012819988311,0.0
BINANCE,BINANCE,binancebvi@hiddenroad.com,AccountType.MAIN,BNB,11020.9815,5163908.492712721,468.552505302066,11020.8815,4212725.625897673,382.24942586468,0.1000000000003638
BINANCE,BINANCE,binancebvi@hiddenroad.com,AccountType.MAIN,BTC,3.99993941,166779.89840430842,41695.6061852718,0.73893941,28506.29912463948,38577.3160002922,3.261
BINANCE,BINANCE,binancebvi@hiddenroad.com,AccountType.MAIN,BUSD,19000.0,19000.906476196506,1.0000477092735,2219000.0,2218783.363989793,0.999902372235148,-2200000.0
BINANCE,BINANCE,binancebvi@hiddenroad.com,AccountType.MAIN,ETH,0.00254562,7.9344792341156,3116.91424254822,330.00259166,845781.4851220234,2562.95406914085,-330.00004604000003
BINANCE,BINANCE,binancebvi@hiddenroad.com,AccountType.MAIN,USDC,10000.0,9998.78886483735,0.999878886483735,8800.0,8797.615666304413,0.999729052989138,1200.0
BINANCE,BINANCE,binancebvi@hiddenroad.com,AccountType.MAIN,USDT,5931.93177494,5933.914170374765,1.00033419053185,1237166.41856248,1237325.0231527274,1.00012819988311,-1231234.48678754
BINANCE,BINANCE,binancebvi@hiddenroad.com,AccountType.UMFUTURE,BNB,32.0,14993.680169666111,468.552505302066,32.0,12231.98162766976,382.24942586468,0.0
BINANCE,BINANCE,fasanara@hiddenroad.com,AccountType.CMFUTURE,BTC,33.36509904,1391178.02990443,41695.6061852718,59.49965996,2295337.184186853,38577.3160002922,-26.134560920000006
BINANCE,BINANCE,fasanara@hiddenroad.com,AccountType.CMFUTURE,ETH,1056.4636139,3292906.4848988736,3116.91424254822,422.47549556,1082785.290457799,2562.95406914085,633.9881183399999
BINANCE,BINANCE,fasanara@hiddenroad.com,AccountType.MAIN,BNB,14.20840223,6657.382461205962,468.552505302066,1e-07,3.8224942586468e-05,382.24942586468,14.208402130000001
BINANCE,BINANCE,fasanara@hiddenroad.com,AccountType.MAIN,BTC,30.35713995,1265759.3522663815,41695.6061852718,172.18577581,6642465.084177839,38577.3160002922,-141.82863586
BINANCE,BINANCE,fasanara@hiddenroad.com,AccountType.MAIN,BUSD,3672482.24751285,3672657.458972821,1.0000477092735,2258.52339827,2258.302903678761,0.999902372235148,3670223.72411458
BINANCE,BINANCE,fasanara@hiddenroad.com,AccountType.MAIN,ETH,615.6884051,1919047.958827988,3116.91424254822,1784.26896558,4572999.405774997,2562.95406914085,-1168.58056048
BINANCE,BINANCE,fasanara@hiddenroad.com,AccountType.MAIN,LUNA,51.36,4108.102721985307,79.9864237146672,80.31106039,6846.867520600609,85.2543533524699,-28.951060389999995
BINANCE,BINANCE,fasanara@hiddenroad.com,AccountType.MAIN,USDT,885070.0304,885365.8124241838,1.00033419053185,885972.19065482,886085.7721861006,1.00012819988311,-902.1602548199007
BINANCE,BINANCE,fasanara@hiddenroad.com,AccountType.MARGIN,BUSD,691928.35835041,691961.369749701,1.0000477092735,0.35835041,0.3583154250504379,0.999902372235148,691928.0
BINANCE,BINANCE,fasanara@hiddenroad.com,AccountType.UMFUTURE,USDT,7537368.37958451,7539887.296732032,1.00033419053185,4542300.75047481,4542883.072900071,1.00012819988311,2995067.6291097
BINANCE,BINANCE,hcdigital@hiddenroad.com,AccountType.MAIN,BTC,13.47850237,561994.3267867726,41695.6061852718,3.31966486,128063.76031928578,38577.3160002922,10.15883751
BINANCE,BINANCE,hcdigital@hiddenroad.com,AccountType.MAIN,ETH,0.99646944,3105.909789800049,3116.91424254822,1.39026944,3563.196718450171,2562.95406914085,-0.39379999999999993
BINANCE,BINANCE,hcdigital@hiddenroad.com,AccountType.MAIN,USDT,449333.84511767,449484.008234348,1.00033419053185,802720.33792347,802823.2465769617,1.00012819988311,-353386.49280579994
